no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,asian_civilisations_museum,national_museum_of_singapore,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,singapore_zoological_gardens,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre
11,233.7,69.5,82.7,6.8,6,23,35,81,82,0,106,0,0
14,54.2,17.8,79.2,6.7,8,25,41,91,92,0,109,0,0
9,124.2,38.9,81.7,5.5,4,19,53,80,76,0,112,0,0
7,10.8,3.2,79.8,6.2,6,28,38,98,71,0,82,0,0
15,307.2,84.0,85.8,4.6,6,29,39,88,68,0,95,0,0
24,255.0,38.6,88.7,4.8,6,20,64,86,84,0,147,0,0
20,444.2,194.4,86.9,4.7,4,15,15,54,64,0,55,0,0
13,172.9,82.2,85.0,5.8,7,25,28,65,56,0,87,0,0
11,154.6,38.3,83.8,6.9,31,19,45,61,59,0,103,0,0
20,159.9,42.9,86.7,5.1,5,11,11,16,19,0,37,0,0
11,81.8,33.0,81.7,5.8,9,1,15,22,25,0,63,0,0
12,50.3,23.2,78.5,7.0,11,1,68,55,39,0,119,0,0
14,170.4,30.9,81.7,5.6,13,5,45,59,52,0,86,0,0
13,193.6,64.4,83.1,6.1,12,8,46,70,64,0,94,0,0
15,205.3,60.0,84.8,5.0,14,7,60,73,52,0,97,0,0
21,351.4,56.6,84.9,5.1,14,7,44,62,53,0,89,0,0
19,133.8,41.3,87.3,4.2,15,6,50,84,62,0,117,0,0
17,273.0,92.1,87.2,3.9,13,5,58,76,67,0,118,0,0
13,600.9,177.8,86.7,6.7,14,4,47,58,57,0,76,0,0
4,31.9,19.2,80.5,7.7,14,6,59,41,57,0,69,0,0
16,269.4,122.8,85.8,4.8,15,10,107,42,60,0,96,0,0
9,57.1,18.1,82.3,7.0,17,12,92,52,61,0,89,0,0
13,137.6,73.4,82.1,6.0,19,7,105,70,72,0,99,0,0
8,127.2,68.1,79.8,6.3,16,6,85,84,88,0,121,0,0
20,166.6,34.3,85.3,4.2,18,8,40,80,83,0,95,0,0
8,185.2,111.5,80.3,7.3,17,7,31,77,85,0,109,0,0
14,128.9,29.1,83.6,5.9,33,6,38,55,64,0,84,0,0
13,125.6,25.3,83.9,5.0,24,7,37,60,76,0,78,0,0
15,166.2,62.4,86.1,5.8,21,9,72,82,70,0,99,0,0
14,139.8,36.4,85.2,4.9,17,5,94,88,86,0,133,0,0
8,163.2,96.7,83.3,6.5,19,5,72,52,71,0,75,0,0
3,8.4,7.2,77.7,9.1,16,7,41,57,70,0,93,0,0
12,82.4,20.5,80.3,7.2,23,9,63,69,89,0,122,0,0
10,81.7,49.6,81.0,7.0,25,12,45,67,74,0,90,0,0
20,331.1,58.7,84.6,5.5,22,9,73,85,96,0,132,0,0
15,82.3,27.6,82.7,5.4,17,5,76,84,86,0,133,0,0
15,104.0,26.3,84.0,5.4,25,8,61,89,99,0,126,0,0
13,58.5,13.8,82.9,6.5,25,7,49,93,105,0,103,0,0
18,175.7,43.4,84.2,6.2,33,9,66,71,69,0,82,0,0
19,314.5,76.2,85.2,5.1,34,5,42,75,81,0,79,0,0
23,362.9,133.8,86.4,4.4,22,11,80,70,69,0,112,0,0
19,166.0,47.3,85.6,4.5,16,4,116,68,94,0,137,0,0
20,454.4,131.7,87.8,4.8,16,5,53,59,80,0,101,0,0
8,115.5,44.5,84.0,7.4,11,7,42,47,60,0,80,0,0
9,83.1,35.7,81.3,7.1,18,1,86,53,97,0,125,0,0
18,239.8,43.3,87.0,5.3,54,3,62,58,81,0,120,0,0
14,205.7,36.6,85.2,5.0,46,1,90,78,96,0,137,0,0
16,236.8,37.3,86.3,5.5,37,5,153,64,109,0,121,0,0
15,153.8,54.8,83.8,6.9,47,4,111,74,90,0,131,0,0
14,127.3,30.4,81.9,6.7,41,7,112,78,95,0,131,0,0
12,83.3,32.2,81.0,5.3,43,11,82,53,58,0,106,0,0
8,102.0,37.8,80.9,4.8,46,29,51,71,86,0,106,0,0
18,185.6,64.0,87.4,5.6,43,3,55,64,65,0,102,0,0
22,765.9,198.0,88.5,3.2,36,84,92,90,90,0,146,0,0
20,450.1,143.8,86.8,4.1,42,49,48,61,84,0,91,0,0
3,105.5,51.4,82.5,7.6,50,40,41,59,77,0,77,0,0
21,269.1,68.8,84.9,5.8,53,53,67,68,114,0,114,0,0
14,240.2,102.4,84.7,5.9,51,58,51,76,81,0,126,0,0
16,127.2,21.9,84.8,5.5,46,61,68,81,90,0,153,0,0
12,139.0,38.0,82.8,6.0,38,55,83,84,108,0,152,0,0
19,141.7,23.0,84.8,3.8,50,57,82,78,109,0,140,0,0
20,190.7,55.9,82.9,5.7,47,63,93,79,118,0,134,0,0
13,149.0,52.1,83.3,5.8,43,66,103,54,74,0,104,0,0
16,237.2,51.8,83.2,5.6,51,54,49,63,91,0,103,0,0
21,367.9,60.1,86.5,3.5,58,62,68,80,84,0,84,0,0
20,468.6,159.0,86.8,4.5,47,57,126,93,105,0,165,0,0
19,262.6,123.1,86.0,6.1,53,53,41,62,99,0,101,0,0
8,129.2,48.5,82.9,5.5,56,76,70,48,85,0,109,0,0
16,294.1,48.1,87.1,4.3,75,92,68,69,130,0,141,0,0
13,87.2,34.2,82.0,6.0,50,69,46,61,68,0,101,0,0
11,124.9,42.3,79.1,6.6,77,84,101,78,107,0,140,0,0
12,118.3,45.2,81.5,5.6,54,74,128,82,101,0,153,0,0
15,89.1,23.5,81.3,4.9,64,125,100,92,108,0,141,0,0
18,327.3,133.9,83.8,5.5,59,67,89,82,115,0,133,0,0
18,164.4,43.5,82.7,5.1,45,55,68,45,64,0,88,0,0
19,159.5,41.6,84.9,4.5,58,65,82,77,103,0,126,0,0
16,324.3,63.3,85.9,4.0,58,57,130,59,85,0,150,0,0
17,244.2,52.0,83.7,4.8,51,56,117,86,112,0,208,0,0
5,38.3,36.0,79.1,6.6,44,54,64,69,92,0,144,0,0
8,201.8,74.2,80.7,6.4,42,50,46,55,70,0,104,0,0
19,223.3,56.3,85.4,5.5,83,57,86,89,93,0,150,0,0
12,183.7,86.6,82.2,6.2,68,62,56,55,74,0,129,0,0
17,198.6,41.3,83.0,6.6,84,62,74,75,95,0,135,0,0
8,21.8,5.8,79.8,7.0,93,71,127,90,105,0,162,0,0
16,161.0,24.4,80.8,6.2,50,94,91,75,108,0,130,0,0
12,177.8,35.5,80.7,6.5,58,72,107,67,108,0,137,0,0
13,109.6,63.0,82.0,5.6,42,88,82,62,91,0,129,0,0
15,133.4,38.4,82.8,5.4,61,95,66,65,111,0,128,0,0
23,281.8,61.4,85.6,4.7,62,80,117,62,69,0,125,0,0
18,189.8,42.6,86.3,4.7,52,72,145,99,121,0,192,0,0
10,69.5,24.5,82.1,7.1,39,74,83,67,78,0,115,0,0
4,6.3,2.9,77.3,8.8,47,60,107,73,87,0,127,0,0
11,238.0,57.6,79.9,6.1,65,104,90,72,89,0,136,0,0
18,158.5,40.0,84.1,6.2,48,58,94,59,85,0,127,0,0
17,157.5,90.5,82.2,6.5,85,68,99,89,108,0,153,0,0
19,240.5,43.0,83.9,5.1,69,62,124,94,103,0,161,0,0
18,298.5,121.1,84.8,4.6,73,80,67,88,111,0,150,0,0
16,158.4,60.2,84.2,5.4,71,71,51,79,110,0,133,0,0
13,121.5,28.0,82.5,5.7,64,61,62,56,74,0,117,0,0
17,166.2,58.1,82.3,4.2,80,76,67,64,118,0,111,0,0
21,278.8,41.6,85.9,5.0,66,69,101,59,70,0,122,0,0
14,181.4,85.8,85.3,3.6,70,64,180,84,99,0,180,0,0
17,513.2,216.2,85.8,4.5,62,78,103,58,77,0,95,0,0
8,23.0,17.4,81.1,7.5,60,49,93,69,83,0,132,0,0
22,256.6,54.0,85.5,4.6,75,65,72,61,79,0,134,0,0
12,217.8,61.8,83.9,7.2,51,71,73,72,91,0,146,0,0
15,127.0,34.2,85.3,5.9,49,111,89,89,91,0,140,0,0
15,213.0,82.0,83.7,5.0,55,120,99,83,92,0,156,0,0
7,76.6,30.0,81.3,7.8,93,76,80,104,124,0,170,0,0
13,81.4,30.2,82.6,6.1,114,91,80,86,115,0,150,0,0
14,136.4,40.4,82.7,5.1,66,59,49,56,80,0,118,0,0
20,216.8,54.0,87.4,5.3,102,80,72,70,90,0,134,0,0
24,377.8,78.6,87.8,4.6,42,72,99,69,79,0,122,0,0
21,284.6,87.4,88.4,3.3,46,61,145,93,98,0,174,0,0
16,106.1,26.2,87.3,6.0,40,79,80,86,104,0,141,0,0
11,83.6,38.4,85.6,7.0,46,58,91,60,92,0,108,0,0
21,313.4,92.3,87.3,4.2,46,62,69,69,90,0,139,0,0
20,260.6,48.4,85.1,5.8,57,73,55,74,93,0,144,0,0
19,292.0,79.2,83.1,5.6,45,80,75,91,96,0,138,0,0
8,53.0,38.2,79.0,6.0,37,67,96,89,104,0,156,0,0
17,130.8,35.4,81.1,6.2,42,79,84,90,114,0,156,0,0
12,119.0,31.0,79.8,6.1,46,105,68,86,119,0,164,0,0
